area,ID,Longitude,Latitude,Slp_class,Slope_mean,Elv_class,Elevation_,ECO_NAME,G200_REGIO,_antropiza,HISTO_0,HISTO_1,HISTO_2,HISTO_3,total_pix,Natural,Agro,Urb,Other,Antro,Check
99926101.3,9900,-41.406063,-21.918022,Class1,2.637444496,1-Low Elevation,3.664601712,Alto Paraná Atlantic forests,Atlantic Forests,0.438272959,77923,36312,0,0,114235,0.682,0.318,0,0,0.318,1
99926101.3,12149,-41.204384,-21.989803,Class1,2.235635297,1-Low Elevation,3.926148784,Alto Paraná Atlantic forests,Atlantic Forests,0.783183036,36807,76983,445,0,114235,0.322,0.674,0.004,0,0.678,1
99926101.3,6156,-41.305252,-21.953941,Class1,3.313572892,1-Low Elevation,4.051101084,Alto Paraná Atlantic forests,Atlantic Forests,0.442691255,76742,37148,556,0,114446,0.671,0.325,0.005,0,0.329,1.001
99926101.3,11745,-41.217935,-21.898373,Class1,2.243941504,1-Low Elevation,4.137515726,Alto Paraná Atlantic forests,Atlantic Forests,0.965478551,10501,96580,7155,0,114236,0.092,0.845,0.063,0,0.908,1
99926101.3,353,-41.231467,-21.806933,Class1,2.297110068,1-Low Elevation,5.290379996,Alto Paraná Atlantic forests,Atlantic Forests,0.966904569,5713,97525,11207,0,114445,0.05,0.852,0.098,0,0.95,1
99926101.3,12206,-41.318727,-21.8625,Class1,2.299236209,1-Low Elevation,5.890840513,Alto Paraná Atlantic forests,Atlantic Forests,0.974303382,5902,101797,6537,0,114236,0.052,0.891,0.057,0,0.948,1
99926101.3,7287,-39.960206,-19.574073,Class1,2.695921913,1-Low Elevation,7.100767554,Bahia coastal forests,Atlantic Forests,0.826158479,31300,83145,0,0,114445,0.273,0.727,0,0,0.727,1
99926101.3,9041,-40.045419,-19.630421,Class1,2.927080641,1-Low Elevation,8.497579457,Bahia coastal forests,Atlantic Forests,0.752442337,42126,72015,94,0,114235,0.369,0.63,0.001,0,0.631,1
99926101.3,12161,-42.130823,-22.872887,Class1,3.171321709,1-Low Elevation,9.292794579,Serra do Mar coastal forests,Atlantic Forests,0.198994398,90223,6502,12783,4729,114237,0.79,0.057,0.112,0.041,0.21,1
99926101.3,4451,-47.727696,-24.538734,Class1,4.572034514,1-Low Elevation,10.21920428,Serra do Mar coastal forests,Atlantic Forests,0.444240098,58777,55458,0,0,114235,0.515,0.485,0,0,0.485,1
99926101.3,4285,-42.055545,-22.726337,Class1,4.004907037,1-Low Elevation,10.29786505,Serra do Mar coastal forests,Atlantic Forests,0.908932157,12520,96313,5402,0,114235,0.11,0.843,0.047,0,0.89,1
99926101.3,4747,-43.673844,-22.833682,Class1,3.340362009,1-Low Elevation,10.47837509,Serra do Mar coastal forests,Atlantic Forests,0.894716418,12374,72450,18773,10849,114446,0.108,0.633,0.164,0.095,0.892,1
99926101.3,12692,-49.864746,-29.281874,Class1,4.717384454,1-Low Elevation,10.75962326,Serra do Mar coastal forests,Atlantic Forests,0.846005888,18614,95622,0,0,114236,0.163,0.837,0,0,0.837,1
99926101.3,8680,-39.875067,-19.517679,Class1,3.623311216,1-Low Elevation,10.76436938,Bahia coastal forests,Atlantic Forests,0.41591584,71360,42877,0,0,114237,0.625,0.375,0,0,0.375,1
99926101.3,8960,-39.091684,-15.631389,Class1,4.209800324,1-Low Elevation,10.86264207,Bahia coastal forests,Atlantic Forests,0.500463994,47365,66871,0,0,114236,0.415,0.585,0,0,0.585,1
99926101.3,4913,-47.718641,-24.630424,Class1,5.834652671,1-Low Elevation,12.62307957,Serra do Mar coastal forests,Atlantic Forests,0.292951449,74398,39839,0,0,114237,0.651,0.349,0,0,0.349,1
99926101.3,635,-48.81335,-26.499032,Class1,4.580859103,1-Low Elevation,13.10109655,Serra do Mar coastal forests,Atlantic Forests,0.598226714,45812,68166,258,0,114236,0.401,0.597,0.002,0,0.599,1
99926101.3,8451,-42.068561,-22.634903,Class1,5.13759947,1-Low Elevation,13.49823614,Serra do Mar coastal forests,Atlantic Forests,0.907615344,10457,92859,10369,551,114236,0.092,0.813,0.091,0.005,0.908,1.001
99926101.3,4444,-41.258473,-21.624026,Class1,3.640590955,1-Low Elevation,13.54709143,Bahia interior forests,Atlantic Forests,0.877251445,14696,94165,5376,0,114237,0.129,0.824,0.047,0,0.871,1
99926101.3,11047,-39.889295,-19.426054,Class1,3.91595838,1-Low Elevation,13.89792486,Bahia coastal forests,Atlantic Forests,0.442835932,71229,43009,0,0,114238,0.624,0.376,0,0,0.376,1
99926101.3,13010,-49.591556,-28.943705,Class1,3.525654006,1-Low Elevation,14.01012669,Serra do Mar coastal forests,Atlantic Forests,0.943350065,6351,107175,711,0,114237,0.056,0.938,0.006,0,0.944,1
99926101.3,5873,-40.059541,-19.5388,Class1,3.362163545,1-Low Elevation,14.08373003,Bahia coastal forests,Atlantic Forests,0.82801559,23815,90068,352,0,114235,0.208,0.788,0.003,0,0.792,0.999
99926101.3,8034,-42.169696,-22.598578,Class1,6.063663884,1-Low Elevation,14.29314645,Serra do Mar coastal forests,Atlantic Forests,0.884153337,14346,99648,242,0,114236,0.126,0.872,0.002,0,0.874,1
99926101.3,7775,-47.626673,-24.578101,Class1,7.255883533,1-Low Elevation,14.87890841,Serra do Mar coastal forests,Atlantic Forests,0.245602639,84473,29971,0,0,114444,0.738,0.262,0,0,0.262,1
99926101.3,10175,-39.974381,-19.48245,Class1,3.806447242,1-Low Elevation,15.29047143,Bahia coastal forests,Atlantic Forests,0.564574774,53061,61175,0,0,114236,0.464,0.536,0,0,0.536,1
99926101.3,8545,-47.44297,-24.473316,Class1,5.759837134,1-Low Elevation,16.10162907,Serra do Mar coastal forests,Atlantic Forests,0.016096647,111666,2571,0,0,114237,0.977,0.023,0,0,0.023,1
99926101.3,456,-49.503506,-28.800278,Class1,2.617584826,1-Low Elevation,16.21710096,Serra do Mar coastal forests,Atlantic Forests,0.95827428,4933,107628,1674,0,114235,0.043,0.942,0.015,0,0.957,1
99926101.3,1878,-49.207761,-28.737496,Class1,4.172077497,1-Low Elevation,16.52461988,Serra do Mar coastal forests,Atlantic Forests,0.889090418,13442,96063,4732,0,114237,0.118,0.841,0.041,0,0.882,1
